PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
PRT,10,1930,1930,1,m,70,5,RR,5,O,3843,.,.,.,0
PRT,10,1930,1930,1,m,75,5,RR,5,O,3406,.,.,.,0
PRT,10,1930,1930,1,m,80,1,RR,5,O,1010,.,.,.,0
PRT,10,1930,1930,1,m,81,1,RR,5,O,312,.,.,.,0
PRT,10,1930,1930,1,m,82,1,RR,5,O,480,.,.,.,0
PRT,10,1930,1930,1,m,83,1,RR,5,O,369,.,.,.,0
PRT,10,1930,1930,1,m,84,1,RR,5,O,390,.,.,.,0
PRT,10,1930,1930,1,m,85,1,RR,5,O,422,.,.,.,0
PRT,10,1930,1930,1,m,86,1,RR,5,O,293,.,.,.,0
PRT,10,1930,1930,1,m,87,1,RR,5,O,216,.,.,.,0
PRT,10,1930,1930,1,m,88,1,RR,5,O,211,.,.,.,0
PRT,10,1930,1930,1,m,89,1,RR,5,O,144,.,.,.,0
PRT,10,1930,1930,1,m,90,1,RR,5,O,251,.,.,.,0
PRT,10,1930,1930,1,m,91,1,RR,5,O,51,.,.,.,0
PRT,10,1930,1930,1,m,92,1,RR,5,O,73,.,.,.,0
PRT,10,1930,1930,1,m,93,1,RR,5,O,70,.,.,.,0
PRT,10,1930,1930,1,m,94,1,RR,5,O,53,.,.,.,0
PRT,10,1930,1930,1,m,95,1,RR,5,O,58,.,.,.,0
PRT,10,1930,1930,1,m,96,1,RR,5,O,54,.,.,.,0
PRT,10,1930,1930,1,m,97,1,RR,5,O,26,.,.,.,0
PRT,10,1930,1930,1,m,98,1,RR,5,O,30,.,.,.,0
PRT,10,1930,1930,1,m,99,1,RR,5,O,17,.,.,.,0
PRT,10,1930,1930,1,m,100,1,RR,5,O,21,.,.,.,0
PRT,10,1930,1930,1,m,101,+,RR,5,O,30,.,.,.,0
PRT,10,1930,1930,1,m,TOT,.,RR,5,O,59508,.,.,.,0
PRT,10,1930,1930,1,m,UNK,.,RR,5,O,102,.,.,.,0
PRT,10,1931,1931,1,f,0,1,RR,5,O,13203,.,.,.,0
PRT,10,1931,1931,1,f,1,1,RR,5,O,2892,.,.,.,0
PRT,10,1931,1931,1,f,2,1,RR,5,O,1500,.,.,.,0
PRT,10,1931,1931,1,f,3,1,RR,5,O,1397,.,.,.,0
PRT,10,1931,1931,1,f,4,1,RR,5,O,1074,.,.,.,0
PRT,10,1931,1931,1,f,5,5,RR,5,O,1037,.,.,.,0
PRT,10,1931,1931,1,f,10,5,RR,5,O,723,.,.,.,0
PRT,10,1931,1931,1,f,15,5,RR,5,O,1328,.,.,.,0
PRT,10,1931,1931,1,f,20,5,RR,5,O,1748,.,.,.,0
PRT,10,1931,1931,1,f,25,5,RR,5,O,1550,.,.,.,0
PRT,10,1931,1931,1,f,30,5,RR,5,O,1376,.,.,.,0
PRT,10,1931,1931,1,f,35,5,RR,5,O,1372,.,.,.,0
PRT,10,1931,1931,1,f,40,5,RR,5,O,1412,.,.,.,0
PRT,10,1931,1931,1,f,45,5,RR,5,O,1324,.,.,.,0
PRT,10,1931,1931,1,f,50,5,RR,5,O,1634,.,.,.,0
PRT,10,1931,1931,1,f,55,5,RR,5,O,1710,.,.,.,0
PRT,10,1931,1931,1,f,60,5,RR,5,O,2611,.,.,.,0
PRT,10,1931,1931,1,f,65,5,RR,5,O,3027,.,.,.,0
PRT,10,1931,1931,1,f,70,5,RR,5,O,4203,.,.,.,0
PRT,10,1931,1931,1,f,75,5,RR,5,O,4059,.,.,.,0
PRT,10,1931,1931,1,f,80,1,RR,5,O,1614,.,.,.,0
PRT,10,1931,1931,1,f,81,1,RR,5,O,495,.,.,.,0
PRT,10,1931,1931,1,f,82,1,RR,5,O,689,.,.,.,0
PRT,10,1931,1931,1,f,83,1,RR,5,O,517,.,.,.,0
PRT,10,1931,1931,1,f,84,1,RR,5,O,596,.,.,.,0
PRT,10,1931,1931,1,f,85,1,RR,5,O,742,.,.,.,0
PRT,10,1931,1931,1,f,86,1,RR,5,O,449,.,.,.,0
PRT,10,1931,1931,1,f,87,1,RR,5,O,341,.,.,.,0
PRT,10,1931,1931,1,f,88,1,RR,5,O,379,.,.,.,0
PRT,10,1931,1931,1,f,89,1,RR,5,O,214,.,.,.,0
PRT,10,1931,1931,1,f,90,1,RR,5,O,503,.,.,.,0
PRT,10,1931,1931,1,f,91,1,RR,5,O,139,.,.,.,0
PRT,10,1931,1931,1,f,92,1,RR,5,O,170,.,.,.,0
PRT,10,1931,1931,1,f,93,1,RR,5,O,124,.,.,.,0
PRT,10,1931,1931,1,f,94,1,RR,5,O,100,.,.,.,0
PRT,10,1931,1931,1,f,95,1,RR,5,O,148,.,.,.,0
PRT,10,1931,1931,1,f,96,1,RR,5,O,108,.,.,.,0
PRT,10,1931,1931,1,f,97,1,RR,5,O,56,.,.,.,0
PRT,10,1931,1931,1,f,98,1,RR,5,O,98,.,.,.,0
PRT,10,1931,1931,1,f,99,1,RR,5,O,31,.,.,.,0
PRT,10,1931,1931,1,f,100,1,RR,5,O,46,.,.,.,0
PRT,10,1931,1931,1,f,101,+,RR,5,O,54,.,.,.,0
PRT,10,1931,1931,1,f,TOT,.,RR,5,O,56829,1,.,.,0
PRT,10,1931,1931,1,f,UNK,.,RR,5,O,36,.,.,.,0
PRT,10,1931,1931,1,m,0,1,RR,5,O,15504,.,.,.,0
PRT,10,1931,1931,1,m,1,1,RR,5,O,2943,.,.,.,0
PRT,10,1931,1931,1,m,2,1,RR,5,O,1571,.,.,.,0
PRT,10,1931,1931,1,m,3,1,RR,5,O,1477,.,.,.,0
PRT,10,1931,1931,1,m,4,1,RR,5,O,1158,.,.,.,0
PRT,10,1931,1931,1,m,5,5,RR,5,O,1152,.,.,.,0
PRT,10,1931,1931,1,m,10,5,RR,5,O,731,.,.,.,0
PRT,10,1931,1931,1,m,15,5,RR,5,O,1186,.,.,.,0
PRT,10,1931,1931,1,m,20,5,RR,5,O,1751,.,.,.,0
PRT,10,1931,1931,1,m,25,5,RR,5,O,1621,.,.,.,0
PRT,10,1931,1931,1,m,30,5,RR,5,O,1517,.,.,.,0
PRT,10,1931,1931,1,m,35,5,RR,5,O,1594,.,.,.,0
PRT,10,1931,1931,1,m,40,5,RR,5,O,1613,.,.,.,0
PRT,10,1931,1931,1,m,45,5,RR,5,O,1781,.,.,.,0
PRT,10,1931,1931,1,m,50,5,RR,5,O,2119,.,.,.,0
PRT,10,1931,1931,1,m,55,5,RR,5,O,2389,.,.,.,0
PRT,10,1931,1931,1,m,60,5,RR,5,O,2989,.,.,.,0
PRT,10,1931,1931,1,m,65,5,RR,5,O,3280,.,.,.,0
PRT,10,1931,1931,1,m,70,5,RR,5,O,3785,.,.,.,0
PRT,10,1931,1931,1,m,75,5,RR,5,O,3460,.,.,.,0
PRT,10,1931,1931,1,m,80,1,RR,5,O,1010,.,.,.,0
PRT,10,1931,1931,1,m,81,1,RR,5,O,391,.,.,.,0
PRT,10,1931,1931,1,m,82,1,RR,5,O,500,.,.,.,0
PRT,10,1931,1931,1,m,83,1,RR,5,O,375,.,.,.,0
PRT,10,1931,1931,1,m,84,1,RR,5,O,413,.,.,.,0
PRT,10,1931,1931,1,m,85,1,RR,5,O,466,.,.,.,0
PRT,10,1931,1931,1,m,86,1,RR,5,O,307,.,.,.,0
PRT,10,1931,1931,1,m,87,1,RR,5,O,207,.,.,.,0
PRT,10,1931,1931,1,m,88,1,RR,5,O,238,.,.,.,0
PRT,10,1931,1931,1,m,89,1,RR,5,O,127,.,.,.,0
PRT,10,1931,1931,1,m,90,1,RR,5,O,207,.,.,.,0
PRT,10,1931,1931,1,m,91,1,RR,5,O,63,.,.,.,0
PRT,10,1931,1931,1,m,92,1,RR,5,O,73,.,.,.,0
PRT,10,1931,1931,1,m,93,1,RR,5,O,52,.,.,.,0
PRT,10,1931,1931,1,m,94,1,RR,5,O,61,.,.,.,0
PRT,10,1931,1931,1,m,95,1,RR,5,O,69,.,.,.,0
PRT,10,1931,1931,1,m,96,1,RR,5,O,38,.,.,.,0
PRT,10,1931,1931,1,m,97,1,RR,5,O,27,.,.,.,0
PRT,10,1931,1931,1,m,98,1,RR,5,O,34,.,.,.,0
PRT,10,1931,1931,1,m,99,1,RR,5,O,11,.,.,.,0
PRT,10,1931,1931,1,m,100,1,RR,5,O,15,.,.,.,0
PRT,10,1931,1931,1,m,101,+,RR,5,O,23,.,.,.,0
PRT,10,1931,1931,1,m,TOT,.,RR,5,O,58405,1,.,.,0
PRT,10,1931,1931,1,m,UNK,.,RR,5,O,77,.,.,.,0
PRT,10,1932,1932,1,f,0,1,RR,5,O,14103,.,.,.,0
PRT,10,1932,1932,1,f,1,1,RR,5,O,3220,.,.,.,0
PRT,10,1932,1932,1,f,2,1,RR,5,O,1719,.,.,.,0
PRT,10,1932,1932,1,f,3,1,RR,5,O,1558,.,.,.,0
PRT,10,1932,1932,1,f,4,1,RR,5,O,1244,.,.,.,0
PRT,10,1932,1932,1,f,5,5,RR,5,O,1040,.,.,.,0
PRT,10,1932,1932,1,f,10,5,RR,5,O,764,.,.,.,0
PRT,10,1932,1932,1,f,15,5,RR,5,O,1148,.,.,.,0
PRT,10,1932,1932,1,f,20,5,RR,5,O,1568,.,.,.,0
PRT,10,1932,1932,1,f,25,5,RR,5,O,1587,.,.,.,0
PRT,10,1932,1932,1,f,30,5,RR,5,O,1306,.,.,.,0
