PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
NOR,1,f,46,1,E,1,1,1847,11,O,6989,.,.,.,1
NOR,1,f,47,1,E,1,1,1847,11,O,6929,.,.,.,1
NOR,1,f,48,1,E,1,1,1847,11,O,6688,.,.,.,1
NOR,1,f,49,1,E,1,1,1847,11,O,6630,.,.,.,1
NOR,1,f,50,1,E,1,1,1847,11,O,6252,.,.,.,1
NOR,1,f,51,1,E,1,1,1847,11,O,6331,.,.,.,1
NOR,1,f,52,1,E,1,1,1847,11,O,6453,.,.,.,1
NOR,1,f,53,1,E,1,1,1847,11,O,6347,.,.,.,1
NOR,1,f,54,1,E,1,1,1847,11,O,6334,.,.,.,1
NOR,1,f,55,1,E,1,1,1847,11,O,5828,.,.,.,1
NOR,1,f,56,1,E,1,1,1847,11,O,5553,.,.,.,1
NOR,1,f,57,1,E,1,1,1847,11,O,5184,.,.,.,1
NOR,1,f,58,1,E,1,1,1847,11,O,5041,.,.,.,1
NOR,1,f,59,1,E,1,1,1847,11,O,4624,.,.,.,1
NOR,1,f,60,1,E,1,1,1847,11,O,4589,.,.,.,1
NOR,1,f,61,1,E,1,1,1847,11,O,4251,.,.,.,1
NOR,1,f,62,1,E,1,1,1847,11,O,4305,.,.,.,1
NOR,1,f,63,1,E,1,1,1847,11,O,3733,.,.,.,1
NOR,1,f,64,1,E,1,1,1847,11,O,3963,.,.,.,1
NOR,1,f,65,1,E,1,1,1847,11,O,3833,.,.,.,1
NOR,1,f,66,1,E,1,1,1847,11,O,3734,.,.,.,1
NOR,1,f,67,1,E,1,1,1847,11,O,3304,.,.,.,1
NOR,1,f,68,1,E,1,1,1847,11,O,3203,.,.,.,1
NOR,1,f,69,1,E,1,1,1847,11,O,3036,.,.,.,1
NOR,1,f,70,1,E,1,1,1847,11,O,2587,.,.,.,1
NOR,1,f,71,1,E,1,1,1847,11,O,2920,.,.,.,1
